,name,0shot_loss,ESCounts,Gt counts
52,v_TrampolineJumping_g22_c02,5.0577526,3.0,3.0
53,v_Biking_g21_c01,267.59268,16.0,12.0
54,v_TableTennisShot_g24_c07,109.6729,8.0,9.0
55,v_BenchPress_g23_c01,213.30783,2.0,3.0
56,v_HandstandWalking_g25_c01,49.091415,3.0,3.0
57,v_BenchPress_g22_c01,64.80361,3.0,3.0
58,v_BodyWeightSquats_g22_c03,121.59872,2.0,2.0
59,v_JumpingJack_g23_c03,770.4341,6.0,3.0
60,v_HandstandWalking_g24_c06,364.67728,7.0,12.0
61,v_Rowing_g22_c04,288.44278,3.0,2.0
62,v_BreastStroke_g25_c01,78.34407,5.0,5.0
63,v_HammerThrow_g23_c03,47.463634,5.0,5.0
64,v_JumpRope_g21_c05,330.52902,6.0,7.0
65,v_CuttingInKitchen_g23_c01,228.81767,3.0,2.0
66,v_Kayaking_g21_c04,301.0431,3.0,2.0
67,v_HulaHoop_g25_c01,591.2328,3.0,5.0
68,v_PlayingViolin_g21_c01,1510.6494,6.0,9.0
69,v_BenchPress_g21_c01,183.94633,4.0,3.0
70,v_BabyCrawling_g25_c03,259.923,3.0,3.0
71,v_SoccerJuggling_g25_c03,274.37262,7.0,7.0
72,v_BabyCrawling_g23_c01,449.1922,9.0,6.0
73,v_BreastStroke_g22_c01,142.52151,4.0,5.0
74,v_JumpingJack_g21_c04,155.13174,4.0,3.0
75,v_TrampolineJumping_g24_c01,131.10019,4.0,4.0
76,v_JumpRope_g25_c02,303.73462,18.0,25.0
77,v_Hammering_g25_c03,219.02734,4.0,5.0
78,v_ShavingBeard_g24_c04,362.86572,13.0,16.0
79,v_PlayingViolin_g23_c01,85.12216,3.0,3.0
80,v_PommelHorse_g24_c01,105.29509,11.0,11.0
81,v_SoccerJuggling_g22_c03,687.8362,16.0,11.0
82,v_BabyCrawling_g22_c01,207.9616,7.0,7.0
83,v_BreastStroke_g24_c01,118.18467,2.0,2.0
84,v_ShavingBeard_g23_c06,676.9976,11.0,14.0
85,v_HulaHoop_g23_c05,237.39232,8.0,9.0
86,v_TrampolineJumping_g25_c03,161.43813,5.0,6.0
87,v_Kayaking_g23_c06,391.0071,3.0,2.0
88,v_HandstandWalking_g22_c04,249.08049,4.0,4.0
89,v_CuttingInKitchen_g25_c01,824.41144,7.0,8.0
90,v_BodyWeightSquats_g21_c04,69.56171,2.0,2.0
91,v_Hammering_g23_c02,221.42616,7.0,7.0
92,v_HammerThrow_g21_c02,291.0517,3.0,4.0
93,v_PommelHorse_g21_c04,93.00573,10.0,10.0
94,v_CuttingInKitchen_g22_c01,406.39914,12.0,13.0
95,v_Rowing_g24_c01,283.82303,9.0,9.0
96,v_BreastStroke_g23_c01,439.0053,4.0,5.0
97,v_TrampolineJumping_g21_c01,141.00833,8.0,10.0
98,v_HammerThrow_g25_c04,15.764504,4.0,4.0
99,v_Hammering_g22_c02,289.77182,4.0,4.0
100,v_PlayingViolin_g22_c02,731.87836,4.0,8.0
101,v_PlayingViolin_g24_c03,492.21774,5.0,2.0
102,v_Rowing_g21_c03,384.79996,3.0,7.0
103,v_BenchPress_g24_c01,220.04411,2.0,3.0
104,v_CuttingInKitchen_g24_c01,157.53372,4.0,4.0
